Reference,Assembly_solid_index,Intersection_volume_mm3,Nominal_minimum_distance_mm,Result,Scope_note
H1,2,0.000000,0.000000,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H2,16,0.000000,91.546150,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H2,17,0.000000,87.516343,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H2,18,0.000000,57.748576,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H2,19,0.000000,46.537637,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H2,20,0.000000,6.083584,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H3,2,0.000000,0.000000,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H3,3,0.000000,73.700000,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H3,4,0.000000,81.500000,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H3,5,0.000000,0.000000,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H3,6,0.000000,19.500000,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H3,7,0.000000,20.426698,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H3,8,0.000000,19.461244,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H3,9,0.000000,21.601157,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H3,10,0.000000,62.988668,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H3,11,0.000000,138.232685,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H3,12,0.000000,112.367883,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H3,13,0.000000,102.653395,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H3,14,0.000000,121.669669,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H3,15,0.000000,124.261921,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H3,16,0.000000,157.241401,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H3,17,0.000000,154.896834,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H3,18,0.000000,122.752575,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H3,19,0.000000,110.956939,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H3,20,0.000000,6.083584,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H4,2,0.000000,0.000000,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H4,3,0.000000,9.700000,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H4,4,0.000000,17.500000,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H4,5,0.000000,54.500000,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H4,6,0.000000,83.500000,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H4,7,0.000000,83.338167,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H4,8,0.000000,80.525400,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H4,9,0.000000,83.325506,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H4,10,0.000000,102.370286,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H4,11,0.000000,138.191926,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H4,12,0.000000,135.427998,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H4,13,0.000000,143.864758,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H4,14,0.000000,184.963705,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H4,15,0.000000,179.538854,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H4,16,0.000000,133.145179,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H4,17,0.000000,130.443306,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H4,18,0.000000,127.198048,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H4,19,0.000000,127.134321,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H4,20,0.000000,66.826716,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H5,2,0.000000,0.000000,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H5,3,0.000000,9.700000,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H5,4,0.000000,17.500000,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H5,5,0.000000,54.500000,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H5,6,0.000000,83.500000,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H5,7,0.000000,83.338167,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H5,8,0.000000,80.525400,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H5,9,0.000000,83.325506,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H5,10,0.000000,89.221855,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H5,11,0.000000,111.760230,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H5,12,0.000000,93.696510,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H5,13,0.000000,94.080452,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H5,14,0.000000,132.646796,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H5,15,0.000000,130.161024,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H5,16,0.000000,119.254650,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H5,17,0.000000,116.188768,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H5,18,0.000000,94.203680,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H5,19,0.000000,87.467135,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H5,20,0.000000,66.826716,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H6,2,0.000000,0.000000,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H6,3,0.000000,9.700000,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H6,4,0.000000,17.500000,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H6,5,0.000000,54.500000,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H6,6,0.000000,83.500000,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H6,7,0.000000,83.338167,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H6,8,0.000000,80.525400,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H6,9,0.000000,83.325506,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H6,10,0.000000,99.652433,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H6,11,0.000000,158.461418,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H6,12,0.000000,136.078244,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H6,13,0.000000,128.074132,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H6,14,0.000000,143.307308,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H6,15,0.000000,145.806672,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H6,16,0.000000,175.666020,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H6,17,0.000000,173.570314,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H6,18,0.000000,144.849738,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H6,19,0.000000,135.080719,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
H6,20,0.000000,66.826716,PASS,v0.8 supplied solids only; populated PCB/harness/thermal/service envelopes absent
